CNT_NAME,REG_NAME,ACCOM_NAME,ACCOM_REV_POS,ACCOM_REV_NEG,score
태국,푸켓,코코텔 푸켓 나이양 비치 (SHA Extra Plus) (Kokotel Phuket Nai Yang Beach (SHA Extra Plus)),14,3,4.2
태국,푸켓,반 카론부리 리조트 (SHA Plus+) (Baan Karonburi Resort (SHA Plus+)),15,4,4.11
태국,치앙마이,베드 님만 - 성인 전용 (SHA Plus+) (BED Nimman - Adult Only (SHA Plus+)),23,4,4.26
태국,치앙마이,부리랏타나 (Burirattana),25,4,4.29
태국,치앙마이,Travelodge Nimman,19,6,4.01
태국,치앙마이,포즈 앤 플레이 호텔 (Pause and Play Hotel),6,4,3.86
태국,치앙마이,U Nimman Chiang Mai,20,7,3.95
태국,치앙마이,키리 호텔 치앙마이 (KIRI Hotel Chiang Mai),20,4,4.21
태국,치앙마이,판비만 치앙마이 스파 리조트 (SHA Extra Plus) (Panviman Chiangmai Spa Resort (SHA Extra Plus)),18,9,3.74
태국,치앙마이,Arun Rawee,18,0,4.6
태국,치앙마이,슬립 마이 라이프스타일 호텔 타패 치앙마이 올드 시티 (SHA Extra plus) (Sleep Mai Lifestyle Hotel Thapae Chiang Mai Old City (SHA Extra plus)),22,1,4.53
태국,파타야,아버 호텔 앤 레지던스 파타야 (SHA Plus+) (Arbour Hotel and Residence Pattaya (SHA Plus+)),23,6,4.09
태국,파타야,케이프 다라 리조트 (SHA Plus+) (Cape Dara Resort (SHA Plus+)),16,11,3.53
태국,파타야,Siam @ Siam Design Hotel Pattaya,17,10,3.64
태국,파타야,"The Sanctuary Resort Pattaya, BW Signature Collection",4,5,3.65
태국,파타야,Grande Centre Point Pattaya,18,6,3.99
태국,파타야,아바니 파타야 리조트 (SHA Extra Plus) (Avani Pattaya Resort (SHA Extra Plus)),19,4,4.19
태국,파타야,OZO North Pattaya ,19,5,4.1
태국,파타야,Z 스루 바이 더 자인 호텔 (Z Through By The Zign Hotel),16,11,3.53
태국,파타야,나바나 네이처 이스케이프 (SHA Plus+) (Navana Nature Escape (SHA Plus+)),15,7,3.83
태국,파타야,The Edge central pattaya,9,3,4.07
터키,이스탄불,인터컨티넨탈 이스탄불 (InterContinental Istanbul),10,2,4.22
터키,이스탄불,콘래드 이스탄불 보스포러스 (Conrad Istanbul Bosphorus),3,0,4.35
터키,이스탄불,Zeyn Otel Istanbul,25,0,4.66
터키,이스탄불,자카란다 부티크 호텔 이스탄불 (Jakaranda Boutique Hotel Istanbul),6,3,3.98
터키,이스탄불,히포드롬 호텔 (Hippodrome Hotel),20,9,3.79
터키,이스탄불,래디슨 블루 호텔 이스탄불 오토마레 (Radisson Blu Hotel Istanbul Ottomare),48,6,4.39
터키,이스탄불,무카르나스 탁심 호텔 (Mukarnas Taksim Hotel),20,0,4.62
터키,이스탄불,Shining Star Hotel,34,3,4.47
터키,이스탄불,멜란즈 에어포트 호텔 (Melanj Airport Hotel),3,2,4.02
터키,이스탄불,니폰 호텔 (Nippon Hotel),9,5,3.84
터키,베이오울루,몰톤 베이오울루 MLS 호텔 (Molton Beyoglu MLS Hotel),17,3,4.25
터키,베이오울루,무카르나스 탁심 호텔 (Mukarnas Taksim Hotel),20,0,4.62
터키,베이오울루,니폰 호텔 (Nippon Hotel),9,5,3.84
터키,베이오울루,Shining Star Hotel,34,3,4.47
터키,베이오울루,자카란다 부티크 호텔 이스탄불 (Jakaranda Boutique Hotel Istanbul),6,3,3.98
터키,베이오울루,래디슨 블루 호텔 이스탄불 오토마레 (Radisson Blu Hotel Istanbul Ottomare),48,6,4.39
터키,베이오울루,Zeyn Otel Istanbul,25,0,4.66
터키,베이오울루,인터컨티넨탈 이스탄불 (InterContinental Istanbul),10,2,4.22
터키,베이오울루,멜란즈 에어포트 호텔 (Melanj Airport Hotel),3,2,4.02
터키,안탈리아,라마다 플라자 바이 윈덤 안탈야 (Ramada Plaza by Wyndham Antalya),7,5,3.77
터키,안탈리아,Concorde De Luxe Resort - Prive Ultra All Inclusive,12,1,4.39
터키,안탈리아,Lucky Monkey Hotel,8,1,4.31
터키,안탈리아,스완도르 톱카피 팰리스 (Swandor Topkapi Palace),21,3,4.32
터키,안탈리아,베스트웨스턴 플러스 칸 호텔 (Best Western Plus Khan Hotel),31,0,4.7
터키,안탈리아,Puding Hotel,30,6,4.2
터키,안탈리아,스카이 카메르 호텔 안탈리아 (Sky Kamer Hotel Antalya),8,0,4.46
터키,안탈리아,마이 인시 호텔 (Mai Inci Hotel),7,3,4.02
터키,안탈리아,Z-스위트 (Z-SUITES),2,0,4.32
터키,안탈리아,제미라 가든 호텔 (Zemira Garden Hotel),7,0,4.44
터키,괴레메,아르테미스 케이브 스위트 (Artemis Cave Suites),35,2,4.56
터키,괴레메,올드 타운 스톤 하우스 (Old Town Stone House),38,2,4.58
터키,괴레메,게디크 케이브 호텔 (Gedik Cave Hotel),15,1,4.44
터키,괴레메,데미소스 케이브 호텔 (Demisos Caves Hotel),24,1,4.55
터키,괴레메,아이딘리 케이브 호텔 (Aydinli Cave Hotel),38,0,4.73
터키,괴레메,로얄 스톤 하우스 - 괴레메 (Royal Stone Houses - Goreme),36,3,4.49
터키,괴레메,헨나 호텔 (Henna Hotel),8,1,4.31
터키,괴레메,Serene Premium Stone House,18,0,4.6
터키,괴레메,캐년 케이브 호텔 (Canyon Cave Hotel),2,0,4.32
터키,괴레메,아도라 케이브 스위트 (Adora Cave Suites),10,1,4.35
필리핀,보라카이,헤난 파크 리조트 (Henann Park Resort),19,7,3.93
필리핀,보라카이,헤난 팜 비치 리조트 (Henann Palm Beach Resort),15,12,3.43
필리핀,보라카이,헤난 가든 리조트 (Henann Garden Resort),18,9,3.74
필리핀,보라카이,보라카이 라까멜라 호텔 (La Carmela de Boracay Hotel),15,10,3.58
필리핀,보라카이,헤난 크리스털 샌즈 리조트 (Henann Crystal Sands Resort),18,10,3.67
필리핀,보라카이,헤난 라군 리조트 (Henann Lagoon Resort),19,7,3.93
필리핀,보라카이,아쿠아 보라카이 (Aqua Boracay),17,9,3.71
필리핀,보라카이,페어웨이즈 앤 블루워터 보라카이 (Fairways and Bluewater Boracay),17,10,3.64
필리핀,보라카이,Blanché Hotel Boracay by DLC Properties,1,0,4.29
필리핀,보라카이,Signature Boracay Blue (Formerly La Banca House),2,4,3.69
필리핀,마닐라,Savoy Hotel Manila,15,11,3.5
필리핀,마닐라,Belmont Hotel Manila ,18,9,3.74
필리핀,마닐라,Seda Bonifacio Global City,21,5,4.14
필리핀,마닐라,베이뷰 파크 호텔 마닐라 (Bayview Park Hotel),13,9,3.6
필리핀,마닐라,킹스포드 호텔 마닐라 (Kingsford Hotel Manila),18,11,3.59
필리핀,마닐라,Seda Residences Makati,19,3,4.29
필리핀,마닐라,Hotel101 - Fort,4,0,4.37
필리핀,마닐라,뉴월드 마카티 호텔 (New World Makati Hotel),16,6,3.94
필리핀,마닐라,니콜스 공항 호텔 (Nichols Airport Hotel),13,12,3.36
필리핀,마닐라,JMM 그랜드 스위트 (JMM Grand Suites),15,13,3.36
필리핀,세부,사보이 호텔 막탄 뉴타운 (Savoy Hotel Mactan Newtown),14,12,3.4
필리핀,세부,퀘스트 호텔 앤 컨퍼런스 센터 세부 (Quest Hotel and Conference Center Cebu),19,7,3.93
필리핀,세부,Plantation Bay Resort and Spa,18,8,3.82
필리핀,세부,홉 인 호텔 세부 시티 (Hop Inn Hotel Cebu City),20,7,3.95
필리핀,세부,"The Reef Island Resort Mactan, Cebu",22,6,4.07
필리핀,세부,Belmont Hotel Mactan,17,9,3.71
필리핀,세부,세부 화이트샌즈 리조트 앤 스파 (Cebu White Sands Resort and Spa),14,13,3.33
필리핀,세부,Seda Ayala Center Cebu,21,6,4.05
필리핀,세부,세부 R 호텔 -마볼로 (Cebu R Hotel - Mabolo),19,9,3.77
필리핀,세부,Gem's Paradise Resort,8,1,4.31
필리핀,마카티,Seda Residences Makati,19,3,4.29
필리핀,마카티,뉴월드 마카티 호텔 (New World Makati Hotel),16,6,3.94
필리핀,마카티,시티 가든 그랜드 호텔 (City Garden GRAND Hotel),16,8,3.77
필리핀,마카티,Z 호스텔 (Z Hostel),8,3,4.05
필리핀,마카티,"세인트 자일스 마카티 - 어 세인트 자일스 호텔, 마닐라 - 다목적 호텔 (St Giles Makati – A St Giles Hotel, Manila)",19,7,3.93
필리핀,마카티,1898 호텔 콜로니아 엔 라스 필리피나스 (1898 Hotel Colonia En Las Filipinas),20,1,4.51
필리핀,마카티,Valero Grand Suites by Swiss-Belhotel,14,8,3.71
필리핀,마카티,Dusit Thani Manila,18,6,3.99
필리핀,마카티,RedDoorz Premium @ The Residences Olympia Makati,1,0,4.29
필리핀,마카티,OYO 675 서킷 호스텔 - 직원 백신 접종 (OYO 675 Circuit Hostel),22,2,4.43
홍콩,침사추이,로얄 가든 호텔 (Royal Garden Hotel),16,11,3.53
홍콩,침사추이,더 솔즈베리 - YMCA 오브 홍콩 (The Salisbury - YMCA of Hong Kong),21,7,3.97
홍콩,침사추이,더 오토 호텔 (The OTTO Hotel),19,9,3.77
홍콩,침사추이,홉 인 (Hop Inn),12,4,4.04
홍콩,침사추이,대시 리빙 온 프랫 (Dash Living on Prat),18,10,3.67
홍콩,침사추이,리갈 구룡 호텔 (Regal Kowloon Hotel),18,10,3.67
홍콩,침사추이,B P 인터내셔널 (B P International),17,9,3.71
홍콩,침사추이,킴벌리 호텔 (Kimberley Hotel),17,12,3.49
홍콩,침사추이,호텔 하트 (Hotel Hart),15,14,3.29
홍콩,침사추이,Hygge House,1,1,4.11
홍콩,홍콩디즈니랜드,로얄 가든 호텔 (Royal Garden Hotel),16,11,3.53
홍콩,홍콩디즈니랜드,리갈 구룡 호텔 (Regal Kowloon Hotel),18,10,3.67
홍콩,홍콩디즈니랜드,더 솔즈베리 - YMCA 오브 홍콩 (The Salisbury - YMCA of Hong Kong),21,7,3.97
홍콩,홍콩디즈니랜드,Vega Suites - Formerly Holiday Inn Express Hong Kong Kowloon East,3,0,4.35
홍콩,홍콩디즈니랜드,B P 인터내셔널 (B P International),17,9,3.71
홍콩,홍콩디즈니랜드,더 오토 호텔 (The OTTO Hotel),19,9,3.77
홍콩,홍콩디즈니랜드,대시 리빙 온 프랫 (Dash Living on Prat),18,10,3.67
홍콩,홍콩디즈니랜드,호텔 하트 (Hotel Hart),15,14,3.29
홍콩,홍콩디즈니랜드,Hygge House,1,1,4.11
홍콩,빅토리아 하버,베스트웨스턴 플러스 칼튼 플라자 호텔 (BEST WESTERN PLUS Carlton Plaza Hotel),7,1,4.29
홍콩,빅토리아 하버,Ocean Island Inn Backpackers Suites,5,1,4.24
홍콩,빅토리아 하버,호텔 그랜드 퍼시픽 (Hotel Grand Pacific),9,0,4.48
홍콩,빅토리아 하버,"제임스 베이 인 호텔, 스위트 앤 코티지 (James Bay Inn Hotel, Suites & Cottage)",8,0,4.46
홍콩,빅토리아 하버,로얄 스캇 호텔 앤 스위트 (Royal Scot Hotel & Suites),2,0,4.32
홍콩,빅토리아 하버,데이즈 인 바이 윈덤 빅토리아 온 더 하버 (Days Inn by Wyndham Victoria On The Harbour),0,2,3.89
홍콩,빅토리아 하버,샤토 빅토리아 호텔 앤 스위트 (Chateau Victoria Hotel & Suites),3,0,4.35
홍콩,빅토리아 하버,아일랜드 트래블 인 (Island Travel Inn),1,0,4.29
홍콩,완차이구,"Ying'nFlo, Wesley Admiralty, Hong Kong",2,0,4.32
홍콩,완차이구,그랜드 하얏트 홍콩 (Grand Hyatt Hong Kong),22,2,4.43
홍콩,완차이구,노보텔 센트리 홍콩 (Novotel Century Hong Kong),20,6,4.03
홍콩,완차이구,벌링턴 호텔 (Burlington Hotel),23,6,4.09
홍콩,완차이구,더 하버뷰 (The Harbourview),17,11,3.56
홍콩,완차이구,더 엠퍼러 호텔 (The Emperor Hotel),15,10,3.58
홍콩,완차이구,완차이 88 호텔 (Wanchai 88 Hotel),19,7,3.93
홍콩,완차이구,AKI Hong Kong - Mgallery,21,0,4.63
홍콩,완차이구,와니 호텔 (Wharney Hotel),15,10,3.58
